No,logTg,nCsp2,SpMax_EA(ri),SpMax_AEA(dm),SM11_EA,Eig03_EA,B03[C-N],S1K,piPC05,piPC07,AAC,SIC4,SpDiam_B(e),SpMax1_Bh(i),Mor31v,TE1
372,2.5172,0.074074074,0.674641148,0.598922414,0.653020011,0.442466887,0,0.102995896,0.214133617,0,0.462635482,0.667,0.638292434,0.629224179,0.551839465,0.946622559
373,2.5328,0.074074074,0.782674389,0.606034483,0.776145891,0.512210265,0,0.147090414,0.306494544,0,0.660011409,0.657,0.713957055,0.677296525,0.50984764,0
374,2.6435,0.074074074,0.665323596,0.623275862,0.653020011,0.542218543,0,0.087805439,0.563481501,0.407338381,0.28693668,1,0.768404908,0.672060923,0.463768116,0.944421583
375,2.5453,0.111111111,0.682699572,0.621336207,0.692736063,0.536630795,0,0.098603706,0.360393931,0.226674432,0.411865374,0.94,0.700408998,0.684435983,0.538089929,0.94729833
376,2.5416,0.037037037,0.629312516,0.561206897,0.610488954,0.499586093,0,0.061950976,0.538062284,0.374956319,0,1,0.733895706,0.717277487,0.473801561,0.944475381
377,2.5899,0.074074074,0.638378242,0.596551724,0.64610489,0.499586093,0,0.081207565,0.567340964,0.374956319,0.28693668,1,0.766871166,0.756782485,0.475287997,0.94480194
378,2.5079,0.111111111,0.684210526,0.626724138,0.715133713,0.66307947,0,0.185450152,0.614186851,0.514735003,0.399315459,1,0.80291411,0.789623989,0.565960609,0.947857069
379,2.5145,0.111111111,0.677159406,0.60862069,0.680558105,0.611134106,0,0.142928382,0.559622039,0.458008154,0.353108956,1,0.736196319,0.72394098,0.536603493,0.948026955
380,2.4955,0.074074074,0.581717452,0.607112069,0.596903494,0.666597682,1,0.20463002,0.341362789,0.279324403,0.399315459,0.966,0.620143149,0.623512613,0.668896321,0.948890546
381,2.6365,0.074074074,0.64265928,0.583189655,0.64610489,0.499586093,0,0.078752541,0.567340964,0.374956319,0.28693668,1,0.766104294,0.752022846,0.473058343,0.946313932
382,2.616,0.111111111,0.907579955,0.618965517,0.867939539,0.825745033,0,0.238981165,0.621905776,0.588934188,0.298345693,0.748,0.808793456,0.779152784,0.65328874,0
383,2.6365,0,0.249307479,0.693965517,0,0,0,0.046702981,0,0,0.462635482,0,0.424079755,0.369823893,0.488665923,0.943712778
384,2.6646,0.111111111,0.750692521,0.61875,0.733737225,0.602028146,1,0.125167824,0.614186851,0.499708794,0.466058186,1,0.814417178,0.804854831,0.472686734,0.947424802
385,2.5988,0.185185185,0.75900277,0.661206897,0.754360198,0.750827815,0,0.191395911,0.713468193,0.701106581,0.435824301,1,0.8599182,0.78105664,0.411742847,0.950333639
386,2.5877,0.111111111,0.63082347,0.629956897,0.686310507,0.600372517,0,0.137730638,0.405243545,0.298776937,0.593839133,0.907,0.647239264,0.58829129,0.612783352,0.948318594
387,2.6117,0.111111111,0.648703097,0.618318966,0.668380148,0.499586093,0,0.129406575,0.258983231,0,0.698231603,0.708,0.693507157,0.674440743,0.538089929,0.946843412
388,2.4031,0.111111111,0.725006296,0.59137931,0.704363258,0.444536424,0,0.116709502,0.184455683,0,0.435824301,0.778,0.712167689,0.680152308,0.542920847,0.946413976
389,2.5478,0.518518519,0.821203727,0.662068966,0.873753136,0.954677152,1,0.468794353,0.916955017,0.911822947,0.192241871,0.828,0.927147239,0.958591147,0.307320699,0.95619284
390,2.5551,0.074074074,0.645177537,0.590086207,0.659139588,0.526283113,0,0.11112816,0.584775087,0.482585906,0.250427838,1,0.766871166,0.760590195,0.494611669,0.946539503
391,2.6532,0.074074074,0.864769579,0.870689655,0.925953124,0.834023179,0,0.271145805,0.39180197,0.342923704,0.79977182,0.874,0.773006135,0.800095193,0.550353029,0.951636103
392,2.5999,0.111111111,0.70410476,0.589655172,0.694143565,0.566225166,0,0.095170509,0.578120841,0.453348864,0.267541358,1,0.790132924,0.76868158,0.493496841,0.946621615
393,2.5717,0.111111111,0.938806346,0.88125,0.943699896,0.828642384,0,0.207986497,0.490950226,0.255911474,0.553907587,0.863,0.773006135,0.851023322,0.571163136,0.949596519
394,2.5999,0.148148148,0.820951901,0.729741379,0.803928768,0.763451987,0,0.178526219,0.461272292,0.383925451,0.323445522,0.966,0.711912065,0.700618753,0.678186548,0.949646541
395,2.5263,0.111111111,0.713422312,0.59137931,0.713787406,0.656663907,0,0.186581764,0.656640937,0.542108328,0.176839703,1,0.776840491,0.763445978,0.529542921,0.947913698
396,2.6385,0.185185185,0.762276505,0.603448276,0.754360198,0.69888245,0,0.157255744,0.636012776,0.55468841,0,0.925,0.823108384,0.813898144,0.602006689,0.946287505
397,2.6444,0.185185185,0.701082851,0.635991379,0.730371458,0.760140728,1,0.206758986,0.626829917,0.58124636,0.557900742,1,0.798824131,0.798667301,0.496469714,0.950707389
398,2.6053,0.111111111,0.74187862,0.632327586,0.733737225,0.602028146,0,0.128121524,0.614186851,0.499708794,0.370792926,1,0.815184049,0.80342694,0.478632479,0.947438959
399,2.4472,0.074074074,0.674892974,0.599353448,0.653448381,0.585264901,0,0.166768959,0.306494544,0.24216657,0.523673702,1,0.687116564,0.664445502,0.538833148,0.949940068
400,2.5999,0.185185185,0.723747167,0.614008621,0.746221161,0.689983444,0,0.161206797,0.607399521,0.505998835,0.337706788,1,0.816206544,0.80104712,0.517279822,0.948115674
401,2.4378,0.111111111,0.807353312,0.701508621,0.791261245,0.711299669,0,0.213606199,0.341362789,0.315433896,0.323445522,0.932,0.690439673,0.670157068,0.61761427,0.949697507
402,2.6031,0.074074074,0.834298665,0.641594828,0.808518451,0.62955298,0,0.126644674,0.597418153,0.532906232,0,0.889,0.796523517,0.778200857,0.523597176,0.945658924
403,2.5172,0.111111111,0.681188617,0.61875,0.684719417,0.683981788,0,0.217154475,0.448096886,0.39219569,0.28693668,0.83,0.695552147,0.677296525,0.829431438,0.950933905
404,2.1139,0,0.579954671,0.310991379,0.560124839,0.29263245,0,0.08034447,0,0,0.714204221,0.204,0.466768916,0.348881485,0.499442586,0
405,2.233,0,0.356081592,0.119396552,0,0,0,0.035751275,0,0,0,0,0.502556237,0.453117563,0.487551096,0.94395817
406,2.238,0,0.503651473,0.245689655,0.466556514,0.085678808,0,0.049944378,0,0,0.462635482,0,0.542944785,0.394098049,0.454477889,0
407,2.2989,0,0.687736087,0.797844828,0.762988801,0.410182119,0,0.138382753,0.258983231,0,1,0.611,0.603271984,0.587815326,0.515793385,0
408,2.3075,0.037037037,0.547720977,0.695905172,0.569487791,0.554221854,0,0.157063946,0.292387543,0.226674432,0.625213919,1,0.621676892,0.616849119,0.531029357,0.947531453
409,2.3483,0,0,-0.185344828,0,0.29263245,0,0.00584986,0,0,0,0,0.205521472,0.144693003,0.488294314,0.943509858
410,2.3856,0.037037037,0.700579199,0.531896552,0.686983661,0.558981788,0,0.119989259,0.553500133,0.426790914,0.250427838,1,0.738241309,0.648738696,0.491638796,0
411,2.4065,0.111111111,0.924452279,0.890301724,1.00520164,1.061465232,1,0.690590356,0.699627362,0.641234712,0.847119224,0.866,0.862474438,0.901475488,0.547380156,0.964470095
412,2.4265,0.074074074,0.715688743,0.57887931,0.725047427,0.639900662,1,0.16960758,0.598882087,0.528013978,0.419281232,0.962,0.780163599,0.696811042,0.479004088,0
413,2.4362,0.148148148,0.916897507,0.656465517,0.887644575,0.854511589,0,0.333039242,0.747937184,0.697029703,0.496862521,0.875,0.841002045,0.73631604,0.328502415,0
414,2.4928,0.074074074,0.684714178,0.63125,0.685270179,0.530008278,0,0.096877517,0.559622039,0.443447874,0.411865374,1,0.766359918,0.753450738,0.473801561,0.946665031
415,2.5119,0.111111111,0.685469655,0.63987069,0.702343798,0.585264901,0,0.128121524,0.588102209,0.462434479,0.370792926,1,0.782464213,0.772965255,0.482348569,0.947387049
416,2.5185,0.111111111,0.665827248,0.593318966,0.695428676,0.585264901,0,0.093194983,0.559622039,0.187419918,0.28693668,1,0.795245399,0.769633508,0.49795615,0.944197899
417,2.5378,0.185185185,0.763787459,0.649353448,0.753931828,0.686672185,0,0.159231271,0.614186851,0.556668608,0.492298916,1,0.812883436,0.800571157,0.532887402,0.948126056
418,2.5599,0.111111111,0.618735835,0.618318966,0.668380148,0.499586093,0,0.129406575,0.214133617,0,0.698231603,0.708,0.639570552,0.57829605,0.540319584,0.947120893
419,2.5635,0.074074074,0.676655754,0.627586207,0.65014381,0.32160596,0,0.094288235,0,0,0.655447804,0.429,0.684815951,0.648738696,0.543664065,0.944821761
